"","gas","food","dap","yr"
"1",3.44,53.95949002469,157.375,1991
"2",3.41,54.92056841726,160.625,1991.08333333333
"3",3.33,55.8288650872,163.625,1991.16666666667
"4",3.47,54.38616383697,166,1991.25
"5",3.37,53.10565806523,165.25,1991.33333333333
"6",3.29,53.21564373048,159.25,1991.41666666667
"7",3,52.83442119201,163.5,1991.5
"8",2.98,54.00576910528,161.875,1991.58333333333
"9",2.97,53.89781639385,159.5,1991.66666666667
"10",2.71,54.41120470831,155,1991.75
"11",2.7,54.3235511583,143.5,1991.83333333333
"12",2.7,54.28351570654,143.5,1991.91666666667
"13",2.57,55.67080944106,145.25,1992
"14",2.5,55.4576437353,147.875,1992.08333333333
"15",2.58,55.55409055499,144.8,1992.16666666667
"16",2.47,54.07004594497,142.75,1992.25
"17",2.49,54.1574112205,140.5,1992.33333333333
"18",2.5,54.81703583966,143.5,1992.41666666667
"19",2.55,53.74046227592,146,1992.5
"20",2.56,53.8232166336,131.4,1992.58333333333
"21",2.57,53.34431896636,131.25,1992.66666666667
"22",2.63,51.70914213894,130.125,1992.75
"23",2.64,52.1440971281,126.4,1992.83333333333
"24",2.64,51.99435076695,124.625,1992.91666666667
"25",2.76,53.51804400897,123.75,1993
"26",2.74,53.33166835101,120.25,1993.08333333333
"27",2.75,54.11434850528,115.1,1993.16666666667
"28",2.68,53.76297340534,112.75,1993.25
"29",2.68,53.03944932937,115.1,1993.33333333333
"30",2.68,51.26000047379,113.875,1993.41666666667
"31",2.66,54.05288443055,112.875,1993.5
"32",2.65,53.47210969083,113.1,1993.58333333333
"33",2.62,53.54356648712,116.875,1993.66666666667
"34",2.62,54.13595025827,129.5,1993.75
"35",2.62,56.6506530119,140.4,1993.83333333333
"36",2.6,58.58792530172,150.375,1993.91666666667
"37",2.47,59.93153101639,150,1994
"38",2.36,59.73276992737,151.75,1994.08333333333
"39",2.36,58.36294691494,155.875,1994.16666666667
"40",2.36,57.20734159901,162.25,1994.25
"41",2.36,56.6228185701,159.2,1994.33333333333
"42",2.36,56.24734486869,157.625,1994.41666666667
"43",2.42,55.54980349792,158.625,1994.5
"44",2.46,57.06222826343,161.1,1994.58333333333
"45",2.48,58.95564714218,164,1994.66666666667
"46",2.56,57.60801685111,167.125,1994.75
"47",2.57,59.15347198467,165.875,1994.83333333333
"48",2.56,61.20722942521,171.66666666667,1994.91666666667
"49",2.66,59.86472695299,188.2,1995
"50",2.66,61.2329581299,198.625,1995.08333333333
"51",2.65,60.61125406469,205.625,1995.16666666667
"52",2.71,59.39363435028,204.5,1995.25
"53",2.71,59.56986546205,197.8,1995.33333333333
"54",2.73,61.79216733656,185.625,1995.41666666667
"55",2.8,65.25717073483,180.8,1995.5
"56",2.8,63.81154688778,185.25,1995.58333333333
"57",2.78,64.39972249303,192,1995.66666666667
"58",2.75,66.29737280561,204.8,1995.75
"59",2.75,66.70190775946,224.875,1995.83333333333
"60",2.73,67.01053221168,229.16666666667,1995.91666666667
"61",2.75,67.39142876516,226.3,1996
"62",2.77,68.65609067745,225.875,1996.08333333333
"63",2.67,68.64766931847,221,1996.16666666667
"64",3.1,72.23263368743,210.75,1996.25
"65",2.81,73.07010905857,186.125,1996.33333333333
"66",2.81,70.95092525961,182.125,1996.41666666667
"67",2.78,69.95957119279,188,1996.5
"68",2.79,68.96053642802,189.875,1996.58333333333
"69",2.79,66.53898653087,186.7,1996.66666666667
"70",2.94,63.12366926953,183.75,1996.75
"71",2.96,62.83133966765,188.25,1996.83333333333
"72",2.96,63.21154883213,188.5,1996.91666666667
"73",2.89,65.38003769073,188,1997
"74",2.89,66.24990640286,187.375,1997.08333333333
"75",2.83,67.52328270782,187.4,1997.16666666667
"76",2.77,66.45633524453,188.5,1997.25
"77",2.74,63.67242177514,188.5,1997.33333333333
"78",2.76,61.30953430446,187,1997.41666666667
"79",2.67,59.985764945,186.875,1997.5
"80",2.67,60.04434527602,186.625,1997.58333333333
"81",2.7,60.30433700059,186.6,1997.66666666667
"82",2.63,60.62225970666,186,1997.75
"83",2.66,61.57102817921,185.5,1997.83333333333
"84",2.65,60.56761424635,185.5,1997.91666666667
"85",2.65,60.05594123829,184,1998
"86",2.63,59.94903742509,183.5,1998.08333333333
"87",2.61,59.07606299846,183.5,1998.16666666667
"88",2.54,60.20482370661,185,1998.25
"89",2.51,59.46000403187,186.5,1998.33333333333
"90",2.5,57.42047104826,189.2,1998.41666666667
"91",2.4,56.84283671309,190.5,1998.5
"92",2.37,54.34901449827,190.5,1998.58333333333
"93",2.33,54.16303854818,190.5,1998.66666666667
"94",2.17,54.81907873473,189.625,1998.75
"95",2.15,56.48817463923,186.7,1998.83333333333
"96",2.13,54.73269446202,182.83333333333,1998.91666666667
"97",2.02,55.02385422745,181.75,1999
"98",2.01,51.58927482877,181.625,1999.08333333333
"99",1.95,49.78419556507,181.75,1999.16666666667
"100",1.87,49.03451827085,180.5,1999.25
"101",1.89,47.71988801167,180.5,1999.33333333333
"102",1.91,46.62162213333,180.5,1999.41666666667
"103",2,44.49857777139,177,1999.5
"104",2.08,46.46587960701,172.4,1999.58333333333
"105",2.2,47.59139870671,164.375,1999.66666666667
"106",2.47,47.14379105403,157,1999.75
"107",2.51,46.34027927008,148.3,1999.83333333333
"108",2.66,45.85740548449,147.5,1999.91666666667
"109",3.36,47.44430431949,147.2,2000
"110",3.46,47.91025547274,144.5,2000.08333333333
"111",3.51,47.32849220594,143,2000.16666666667
"112",3.68,47.97511191208,143,2000.25
"113",3.55,47.47200560274,143,2000.33333333333
"114",3.6,46.4631593793,142,2000.41666666667
"115",3.96,44.9491756388,140.3,2000.5
"116",4.01,45.15661838869,148.625,2000.58333333333
"117",4.03,46.05635277754,157.5,2000.66666666667
"118",4.31,46.41016129295,155.9,2000.75
"119",4.39,46.87299814825,153.5,2000.83333333333
